"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"URI/grcv5/wp/oppositeManager/oppositeView.htm","URI/grcv5/wp/oppositeManager/oppositeView.htm","99.75","798","0.0032983897","8","4.6296296E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/ajaxLogin","URI/grcv5/ajaxLogin","95.25","381","0.0015747951","4","2.3148148E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrWorkflowListService.findProcessedListAll.dwr","URI/grcv5/dwr/call/plaincall/dwrWorkflowListService.findProcessedListAll.dwr","93.85082","74236","0.30684116","791","0.0045775464","0.0","0","3","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/upload (POST)","SpringController/serverapi/cj/rest/dataCenter/upload (POST)","92.55","1851","0.0076507763","20","1.1574074E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/ajaxLogin","URI/grcv5/ajaxLogin","91.0","546","0.002256793","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.getFlow.dwr","90.5","181","7.48131E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/home.jsp","URI/grcv5/user/home.jsp","89.179405","114328","0.47255427","1282","0.0074189813","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","88.95556","4003","0.016545681","45","2.6041668E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppDockingService.saveDockingTable.dwr","URI/grcv5/dwr/call/plaincall/dwrOppDockingService.saveDockingTable.dwr","88.333336","265","0.0010953299","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","87.413795","2535","0.010477968","29","1.6782408E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task-candidates (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task-candidates (POST)","86.375","4146","0.017136747","48","2.7777778E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","85.9193","48974","0.20242524","570","0.0032986111","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","85.8719","20781","0.08589453","242","0.0014004629","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCockpitService.caseData.dwr","URI/grcv5/dwr/call/plaincall/dwrCockpitService.caseData.dwr","84.666664","508","0.0020997268","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateComplianceInfo.dwr","84.4","422","0.0017442612","5","2.8935185E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/home.jsp","URI/grcv5/user/home.jsp","83.70731","44616","0.18441223","533","0.0030844908","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cw/acquire/cwPlan (POST)","SpringController/serverapi/cw/acquire/cwPlan (POST)","83.333336","1000","0.0041333204","12","6.9444446E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","82.28996","22136","0.09149518","269","0.001556713","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/contractCompliance/info/complianceInfo","SpringController/contractCompliance/info/complianceInfo","82.088394","62223","0.2571876","758","0.004386574","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findQuickLinkListByAccount.dwr","81.93247","57025","0.2357026","696","0.004027778","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/contractCompliance/info/complianceInfo","SpringController/contractCompliance/info/complianceInfo","81.07071","24078","0.09952209","297","0.00171875","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/oppositeManager/oppositeEdit.htm","URI/grcv5/wp/oppositeManager/oppositeEdit.htm","80.0","80","3.3066564E-4","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/inform (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/inform (POST)","78.5","157","6.489313E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/collectOpposites (POST)","SpringController/serverapi/cj/rest/dataCenter/collectOpposites (POST)","78.0","234","9.67197E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","74.44444","1340","0.0055386494","18","1.0416667E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractStand/G_1_editContractStand1.htm","URI/grcv5/wp/contractStand/G_1_editContractStand1.htm","74.2","371","0.0015334619","5","2.8935185E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userExtendService.getUserTrustors.dwr","URI/grcv5/dwr/call/plaincall/userExtendService.getUserTrustors.dwr","73.967064","87577","0.3619838","1184","0.006851852","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/groupService.getChildren.dwr","URI/grcv5/dwr/call/plaincall/groupService.getChildren.dwr","73.65151","4861","0.02009207","66","3.8194444E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/flow-mobile/task-form-process/download-attachments-kfv/{code}","SpringController/serverapi/v1/flow-mobile/task-form-process/download-attachments-kfv/{code}","73.139786","13604","0.056229692","186","0.0010763889","10.215054","19","1","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCredirCode.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCredirCode.dwr","73.0","365","0.0015086619","5","2.8935185E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractTemplate/templateView.htm","URI/grcv5/wp/contractTemplate/templateView.htm","70.666664","212","8.7626395E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCertificateNum.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCertificateNum.dwr","70.5","141","5.8279815E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/user/arcic/v1/queryContracts (POST)","SpringController/user/arcic/v1/queryContracts (POST)","70.04539","188282","0.77822983","2688","0.015555556","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCredirCode.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCredirCode.dwr","69.5","139","5.7453156E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/user/arcic/v1/queryContracts (POST)","SpringController/user/arcic/v1/queryContracts (POST)","69.10883","185419","0.76639616","2683","0.015526621","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdCommunicationService.findCommunicationList.dwr","URI/grcv5/dwr/call/plaincall/hdCommunicationService.findCommunicationList.dwr","67.625","541","0.0022361265","8","4.6296296E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/flow-mobile/task-form-process/download-attachments-kfv/{code}","SpringController/serverapi/v1/flow-mobile/task-form-process/download-attachments-kfv/{code}","67.370964","8354","0.03452976","124","7.175926E-4","8.064516","10","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.searchFlowByParam.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.searchFlowByParam.dwr","63.5","127","5.249317E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractStand/G_1_editContractStand1.htm","URI/grcv5/wp/contractStand/G_1_editContractStand1.htm","62.666668","188","7.7706424E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPlaybackService.updateFlowSvgContent.dwr","URI/grcv5/dwr/call/plaincall/dwrPlaybackService.updateFlowSvgContent.dwr","62.0","62","2.5626586E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/users/switch/trustors","SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/users/switch/trustors","61.622223","11092","0.04584679","180","0.0010416667","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCaseService.caseType.dwr","URI/grcv5/dwr/call/plaincall/dwrCaseService.caseType.dwr","61.0","61","2.5213254E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractTemplate/templateView.htm","URI/grcv5/wp/contractTemplate/templateView.htm","60.5","121","5.0013175E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdCommunicationService.findCommunicationList.dwr","URI/grcv5/dwr/call/plaincall/hdCommunicationService.findCommunicationList.dwr","58.666668","176","7.274644E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.getOppositeOtherInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeService.getOppositeOtherInfo.dwr","58.2","873","0.0036083888","15","8.680556E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdDwrTodoListService.findHdTodoList.dwr","URI/grcv5/dwr/call/plaincall/hdDwrTodoListService.findHdTodoList.dwr","57.868843","347676","1.4370563","6008","0.034768518","0.0","0","2","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/inform (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/inform (POST)","57.666668","173","7.150644E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findEditableList.dwr","URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findEditableList.dwr","57.082306","13871","0.057333287","243","0.00140625","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrFundInfoService.canChangeContract.dwr","URI/grcv5/dwr/call/plaincall/dwrFundInfoService.canChangeContract.dwr","56.75","454","0.0018765274","8","4.6296296E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/todo (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/todo (POST)","56.19824","12757","0.05272877","227","0.0013136574","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userExtendService.getUserTrustors.dwr","URI/grcv5/dwr/call/plaincall/userExtendService.getUserTrustors.dwr","54.927273","27189","0.11238085","495","0.0028645834","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_legalServicesDemand/G_1_zhiduLegCheck.htm","URI/grcv5/wp/G_1_legalServicesDemand/G_1_zhiduLegCheck.htm","54.0","162","6.695979E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAndUserGroups.dwr","URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAndUserGroups.dwr","53.5","214","8.8453054E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.getChildrenHierarchy.dwr","52.5","105","4.3399865E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAppUserAndUserGroups.dwr","URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAppUserAndUserGroups.dwr","52.0","52","2.1493266E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrKnowledgeService.getKnowPath.dwr","URI/grcv5/dwr/call/plaincall/dwrKnowledgeService.getKnowPath.dwr","52.0","52","2.1493266E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAndUserGroups.dwr","URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAndUserGroups.dwr","51.666668","155","6.4066466E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAppUserAndUserGroups.dwr","URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUserAppUserAndUserGroups.dwr","51.42857","360","0.0014879954","7","4.0509258E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluateByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluateByContractId.dwr","51.330936","7135","0.029491242","139","8.0439815E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/rest/mobile/thirdpartylogin.json","URI/grcv5/rest/mobile/thirdpartylogin.json","49.076553","10257","0.04239547","209","0.0012094907","8.61244","18","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/oppositeManager/oppositeList.htm","URI/grcv5/wp/oppositeManager/oppositeList.htm","48.0","96","3.9679877E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_oppositeAccess/G_1_oppositeAccessList.htm","URI/grcv5/wp/G_1_oppositeAccess/G_1_oppositeAccessList.htm","47.0","47","1.9426606E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/resources/lib/hd/widget/indidocx/IndiDocX.exe","URI/grcv5/resources/lib/hd/widget/indidocx/IndiDocX.exe","47.0","470","0.0019426605","10","5.787037E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/rest/mobile/thirdpartylogin.json","URI/grcv5/rest/mobile/thirdpartylogin.json","46.810585","16805","0.06946045","359","0.0020775462","5.0139275","18","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/todo (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/todo (POST)","46.70355","22371","0.09246651","479","0.0027719908","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.deleteAttachment} (POST)","SpringController/${url.attachment}/${url.attachment.deleteAttachment} (POST)","46.6","932","0.0038522547","20","1.1574074E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractTemplate/contractTemplateList.htm","URI/grcv5/wp/contractTemplate/contractTemplateList.htm","46.0","46","1.9013273E-4","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/oppositeManager/oppositeEdit.htm","URI/grcv5/wp/oppositeManager/oppositeEdit.htm","46.0","46","1.9013273E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdDwrTodoListService.findHdTodoList.dwr","URI/grcv5/dwr/call/plaincall/hdDwrTodoListService.findHdTodoList.dwr","45.749035","130339","0.5387328","2849","0.016487269","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/users/switch/trustors","SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/users/switch/trustors","45.656567","4520","0.018682608","99","5.7291664E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findEditableList.dwr","URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findEditableList.dwr","45.586994","25939","0.1072142","569","0.0032928241","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/honorHalls/honorHallsList.jsp","URI/grcv5/user/product/honorHalls/honorHallsList.jsp","45.0","135","5.5799825E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluateByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluateByContractId.dwr","44.067307","18332","0.07577203","416","0.0024074074","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/collectOpposites (POST)","SpringController/serverapi/cj/rest/dataCenter/collectOpposites (POST)","43.0","86","3.5546554E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/userService.setUserProps.dwr","URI/grcv5/dwr/call/plaincall/userService.setUserProps.dwr","43.0","43","1.7773277E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/oppositeManager/oppositeList.htm","URI/grcv5/wp/oppositeManager/oppositeList.htm","42.0","84","3.4719892E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.bpm.user.loginInfo}","SpringController/${url.bpm.user.loginInfo}","40.5","81","3.3479894E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.logs2}","SpringController/${url.workflow.logs2}","39.0","663","0.0027403915","17","9.837963E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cj/rest/dataCenter/upload (POST)","SpringController/serverapi/cj/rest/dataCenter/upload (POST)","37.833332","227","9.382637E-4","6","3.4722223E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCockpitService.majorLitigation.dwr","URI/grcv5/dwr/call/plaincall/dwrCockpitService.majorLitigation.dwr","37.5","225","9.2999707E-4","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractTemplate/contractTemplateList.htm","URI/grcv5/wp/contractTemplate/contractTemplateList.htm","37.333332","112","4.629319E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.logs2}","SpringController/${url.workflow.logs2}","37.0","1369","0.0056585157","37","2.1412037E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/G_1_oppositeAccessSelector.htm","URI/grcv5/wp/selector/G_1_oppositeAccessSelector.htm","37.0","74","3.0586572E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUsers.dwr","URI/grcv5/dwr/call/plaincall/dwrUserGroupService.searchGroupUsers.dwr","36.42857","510","0.0021079935","14","8.1018516E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_interimLimitMoney/G_1_interimLimitMoneyList.htm","URI/grcv5/wp/G_1_interimLimitMoney/G_1_interimLimitMoneyList.htm","36.0","36","1.4879953E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/task-search-candidates (POST)","SpringController/${url.rest.prefix.mobileapi.v1}/common-mobile/task-search-candidates (POST)","35.5","71","2.9346574E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/roleService.getAuthorizedUsers.dwr","URI/grcv5/dwr/call/plaincall/roleService.getAuthorizedUsers.dwr","34.0","34","1.405329E-4","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.getSubGroupNode.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.getSubGroupNode.dwr","33.333332","100","4.1333205E-4","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_legalInstitutionalLibrary/G_1_legalInstitutionLibList.htm","URI/grcv5/wp/G_1_legalInstitutionalLibrary/G_1_legalInstitutionLibList.htm","32.75","393","0.0016243949","12","6.9444446E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_legalStaffManagement/G_1_legalAdviserInfo/G_1_legalAdviserinfoList.htm","URI/grcv5/wp/G_1_legalStaffManagement/G_1_legalAdviserInfo/G_1_legalAdviserinfoList.htm","32.0","32","1.3226626E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_LEGAL_FEES/G_1_lvshifeiyong.htm","URI/grcv5/wp/G_1_LEGAL_FEES/G_1_lvshifeiyong.htm","32.0","32","1.3226626E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/roleService.assignUsers.dwr","URI/grcv5/dwr/call/plaincall/roleService.assignUsers.dwr","31.5","126","5.207984E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/ReportServer","URI/grcv5/ReportServer","31.277273","27524","0.11376551","880","0.0050925924","0.0","0","5","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getAttachByTemp.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.getAttachByTemp.dwr","31.0","93","3.843988E-4","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/Others/*","URI/Others/*","30.154888","20053","0.082885474","665","0.0038483797","58.045113","386","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.deleteAttachment} (POST)","SpringController/${url.attachment}/${url.attachment.deleteAttachment} (POST)","30.142857","211","8.721306E-4","7","4.0509258E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.getContractInfoAmount.dwr","URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.getContractInfoAmount.dwr","29.5","59","2.438659E-4","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/roleService.getRolesTreeNode.dwr","URI/grcv5/dwr/call/plaincall/roleService.getRolesTreeNode.dwr","27.0","27","1.1159965E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractTemplateService.updateTemplateCategoryRel.dwr","URI/grcv5/dwr/call/plaincall/dwrContractTemplateService.updateTemplateCategoryRel.dwr","26.5","53","2.1906599E-4","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/selector/relationManList.htm","URI/grcv5/wp/selector/relationManList.htm","26.0","26","1.0746633E-4","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.getContractInfoAmount.dwr","URI/grcv5/dwr/call/plaincall/dwrContractUpdateService.getContractInfoAmount.dwr","25.071428","351","0.0014507954","14","8.1018516E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_interfaceConfig/G_1_interfaceConfigList.htm","URI/grcv5/wp/G_1_interfaceConfig/G_1_interfaceConfigList.htm","25.0","25","1.0333301E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/bpm/view.htm","URI/grcv5/bpm/view.htm","24.0","24","9.919969E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.saveOppoEvaluate.dwr","URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.saveOppoEvaluate.dwr","24.0","96","3.9679877E-4","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/hdCommunicationLogService.findCommunicationLogsByInstId.dwr","URI/grcv5/dwr/call/plaincall/hdCommunicationLogService.findCommunicationLogsByInstId.dwr","24.0","384","0.0015871951","16","9.259259E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsLegalLawyer.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.updateIsLegalLawyer.dwr","23.601694","2785","0.011511297","118","6.828704E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCaseService.caseStage.dwr","URI/grcv5/dwr/call/plaincall/dwrCaseService.caseStage.dwr","23.0","23","9.506637E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/ReportServer","URI/grcv5/ReportServer","22.13598","26209","0.1083302","1184","0.006851852","0.0","0","5","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/dataStatistics/info/legal.json","SpringController/dataStatistics/info/legal.json","22.0","22","9.093305E-5","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/contractClose/editContractClose.htm","URI/grcv5/wp/contractClose/editContractClose.htm","21.636364","238","9.837303E-4","11","6.3657404E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
